id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
zh-hsk4-00001,阿姨,ā yí,[ā yí] maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child),,people-and-relationships,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/1,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00002,矮,ǎi,[ǎi] low; short (in length),,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/16,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00003,矮小,ǎi xiǎo,[ǎi xiǎo] short and small; low and small; undersized,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/17,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00004,爱国,ài guó,[ài guó] to love one's country; patriotic,,travel-and-places,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/22,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00005,爱护,ài hù,[ài hù] to cherish; to treasure; to take care of; to love and protect,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/24,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00006,安,Ān / ān,[Ān] surname An / [ān] (bound form) calm; peaceful; to calm; to set at ease; safe; secure; in good health; content; satisfied; to place (sb) in a suitable position (job); to install; to fix; to fit; to bring (a charge against sb); to harbor (certain intentions); ampere,,study-and-work;health-and-body,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/33,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00007,安置,ān zhì,[ān zhì] to find a place for; to help settle down; to arrange for; to get into bed; placement,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/48,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00008,按时,àn shí,[àn shí] on time; before deadline; on schedule,,time-and-quantity,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/56,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00009,暗,àn,[àn] dark; to turn dark; secret; hidden; (literary) confused; ignorant / [àn] (literary) to close (a door); to eclipse; confused; ignorant; dark,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/61,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00010,暗示,àn shì,[àn shì] to hint; to suggest; hint; suggestion,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/64,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00011,巴士,bā shì,[bā shì] bus (loanword); motor coach,,travel-and-places,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/96,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00012,百货,bǎi huò,[bǎi huò] general merchandise,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/114,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00013,摆,bǎi,[bǎi] to arrange; to exhibit; to move to and fro; a pendulum,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/117,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00014,摆动,bǎi dòng,[bǎi dòng] to sway; to swing; to move back and forth; to oscillate,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/118,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00015,摆脱,bǎi tuō,[bǎi tuō] to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/122,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00016,败,bài,[bài] to defeat; to damage; to lose (to an opponent); to fail; to wither,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/123,2021-standard-derived upstream new-4; not 2025 exam
zh-hsk4-00017,办事,bàn shì,[bàn shì] to handle (affairs); to work,,study-and-work,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/153,2021-standard-derived upstream new-4; not 2025 exam
