id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
zh-hsk7-9-00001,阿拉伯语,Ā lā bó yǔ,[Ā lā bó yǔ] Arabic (language),,thought-and-communication,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/0,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00002,呵护,hē hù,[hē hù] to bless; to cherish; to take good care of; to conserve,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/3,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00003,哎,āi,[āi] hey!; (interjection used to attract attention or to express surprise or disapprobation),,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/5,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00004,哎呀,āi yā,"[āi yā] interjection of wonder, shock or admiration",,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/6,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00005,哀求,āi qiú,[āi qiú] to entreat; to implore; to plead,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/8,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00006,唉,āi / ài,"[āi] interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh / [ài] alas; oh dear",,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/9,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00007,挨家挨户,āi jiā āi hù,[āi jiā āi hù] to go from house to house,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/12,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00008,癌,ái,[ái] cancer; carcinoma; also pr.,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/14,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00009,癌症,ái zhèng,[ái zhèng] cancer,,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/15,2021-standard-derived upstream new-7; not 2025 exam
zh-hsk7-9-00010,艾滋病,ài zī bìng,[ài zī bìng] AIDS (loanword),,general-and-abstract,zh-vocab-adapted,https://raw.githubusercontent.com/drkameleon/complete-hsk-vocabulary/7ac65bf1a6387d35f1ade478906172a19311c7f9/complete.json#/18,2021-standard-derived upstream new-7; not 2025 exam
