id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ko-nikl-25511,-가,,A suffix used to mean a person who does something professionally or a person who does something as a job. / A suffix used to mean a person who is good at something. / A suffix used to mean a person who has a lot of something. / A suffix used to mean a person who has a certain characteristic.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25511,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-25662,-가량,,A suffix used to mean approximately.,affix,concepts > quantity,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25662,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-26153,-간,,A suffix used to mean &quot;during.&quot; / A suffix used to mean a place.,affix,concepts > time,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26153,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-26416,-감,,A suffix used to mean a feeling.,affix,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26416,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-27249,-객,,A suffix used to mean a guest or a person.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27249,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-30236,-관,,A suffix used to mean a building or an institution.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=30236,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-30238,-관,,A suffix used to mean a viewpoint or an opinion.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=30238,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-31650,-권,,A suffix used to mean a right or a qualification.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=31650,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-32648,-기,,A suffix used to mean a machine or equipment for a function.,affix,housing > household goods,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=32648,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-16004,-님,,A suffix used to mean &quot;honorific.&quot; / A suffix used to mean showing respect by expressing that object as a human being. / A suffix used to mean showing respect and honor.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=16004,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-16762,-당,,A suffix to indicate &quot;per.&quot;,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=16762,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-20195,-력,,A suffix used to mean an ability or a power.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=20195,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-20244,-료,,A suffix used to mean a fee. / A suffix used to mean a material.,affix,economy > financial instruments,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=20244,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-20258,-률,,A suffix used to mean a rate or ratio.,affix,concepts > degree,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=20258,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-38352,-문,,A suffix used to mean a piece of writing.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=38352,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-38550,-물,,A suffix used to mean an object or a material.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=38550,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-05500,-별,,A suffix used to mean &quot;according to something.&quot;,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=5500,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-07430,-비,,"A suffix used to mean expense, money, etc.",affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=7430,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-08146,-사,,A suffix used to mean an occupation.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=8146,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-08153,-사,,A suffix used to mean a company.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=8153,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-08154,-사,,A suffix used to mean a person who does something as a job.,affix,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=8154,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-09477,-생,,A suffix used to mean &quot;being born at that time.&quot; / A suffix used to mean &quot;having grown up in those many years.&quot;,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=9477,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-09478,-생,,A suffix used to mean a student. / A suffix used to mean a young person.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=9478,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-00128,-성,,A suffix used to mean a quality.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=128,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
ko-nikl-00583,-소,,A suffix used to mean a place or an institution.,affix,general / source uncategorized,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=583,NIKL source band: intermediate; project heuristic TOPIK 4: abstract/form-building/uncategorized expansion; not an official per-grade list
